Index,Timestep,Value
3,141312,668130
0,141824,664776
0,142336,665612
0,142848,666092
0,143360,666652
5,143872,8223494
6,143872,9140384
0,143872,665762
0,144384,665948
0,145152,665495
0,145664,666241
0,146176,667019
2,146432,2231490
3,146432,665535
0,146432,667387
0,147200,666950
0,147712,666737
0,148224,666518
0,148736,666710
5,148992,8228796
6,148992,9141706
0,149248,666758
0,149760,667206
0,150272,667062
0,151040,666113
0,151552,664696
2,151552,2232646
3,151552,668401
0,152064,665740
0,152576,666188
5,153088,8225141
6,153088,9135205
0,153088,665479
0,153600,664083
0,154112,663689
0,154624,664126
0,155392,665053
2,155648,2232311
3,155648,667810
0,155648,665788
0,156416,665836
0,156928,664712
0,157440,664520
0,157952,665591
5,158208,8228108
6,158208,9144695
0,158464,666332
0,158976,666716
0,159488,666231
0,160000,665159
0,160768,664722
2,160768,2233280
3,160768,666590
0,161280,664078
0,161792,665554
0,162304,666444
0,162816,666545
5,163328,8227251
6,163328,9138280
0,163328,665804
0,163584,665165
0,163840,665442
0,164352,666055
2,164864,2232726
3,164864,666004
0,164864,666662
0,165632,666311
0,166144,664914
0,166656,663534
0,167168,664568
5,167424,8223057
6,167424,9141818
0,167680,666007
0,168192,666407
0,168704,665271
0,169216,664627
0,169728,663683
2,169984,2230798
3,169984,668306
0,170240,663891
0,171008,664094
0,171520,665346
0,172032,664573
0,172544,663587
5,172544,8228417
6,172544,9134454
0,173056,663406
0,173568,663806
0,174080,665602
0,174592,666135
2,175104,2231527
3,175104,665519
0,175104,665730
0,175872,665186
0,176384,666806
5,176640,8226057
6,176640,9138019
0,176640,667243
0,177408,667233
0,177920,665463
0,178432,664632
0,178944,664200
2,179200,2231202
3,179200,665108
0,179456,664147
0,179968,664749
0,180736,664696
0,181248,663960
0,181760,663806
5,181760,8227613
6,181760,9149107
0,182272,663033
0,182784,663406
